ID,LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default Status
11611,3,22,3455,343,3454,29227,28929,29484,1515,1455,128,144,142,1111,Not Default
11612,24,35,227457,232729,223431,226361,22358,238587,9,1,8,9,19,9,Not Default
11613,8,42,1593,41217,8815,2412,,2229,41217,8815,2412,1153,2229,219,Not Default
11614,3,33,28949,3319,294,3,,,2233,1,6,,,,Not Default
11615,18,52,,,145,,,,,145,,,,,Not Default
11616,5,26,39,39,,78,,,39,,78,,,,Default
11617,3,52,26494,26675,29111,28325,2884,545,9,3974,,6,,,Default
11618,11,32,11238,113369,113214,1835,1972,16848,62,99,,87,,5,Default
11619,18,33,5931,2294,9,,,,2294,9,,,,788,Not Default
1162,5,49,46693,14453,671,3581,,6,1158,11,3581,,6,3261,Not Default
11621,14,29,14174,138128,128812,131374,135353,137238,71,47,476,61,53,486,Not Default
11622,9,38,92481,9698,872,69788,63868,4136,357,3328,21,2542,3,93245,Default
11623,9,25,23662,2597,28531,372,29323,2879,3,3,23,,,486,Default
11624,18,31,13171,12666,,,,,111,,,,,,Not Default
11625,36,29,92693,87415,69552,38898,31222,5581,2595,22,163,1897,3278,83275,Not Default
11626,14,28,12642,1374,13818,13994,14222,14537,16,6,7,6,7,6,Default
11627,9,23,119836,21836,1136,29836,986,21615,3,1136,19836,986,21615,5885,Not Default
11628,15,27,222,3,3359,2924,,,3,3461,261,,,,Not Default
11629,2.00E+00,56,195456,199692,171784,175197,17969,189686,87,63,6276,671,138,,Not Default
1163,11,48,216582,11865,7434,47152,48138,49171,8788,3152,1687,1745,1831,1732,Not Default
11631,41,25,4151,4357,1513,9137,7781,2887,4357,1513,9137,7781,2887,15,Not Default
11632,5,58,31236,3141,18683,1955,19462,19343,388,15,651,682,68,595,Not Default
11633,17,43,78429,81991,81688,1841,23528,32579,5,3,2,5,1,1,Not Default
11634,21,39,836,4247,17162,12949,1223,7324,4278,17213,615,283,736,12142,Not Default
11635,29,35,24728,257,261236,22392,185522,1719,3,29,1,8,3,48,Not Default
11636,16,27,2431,526,372,3465,4218,2913,53,3722,43,5,25,54,Not Default
11637,5,27,4863,48338,459,1931,19534,1931,1963,1972,672,8,7,1,Default
11638,5,28,3394,4735,44384,45267,46215,47949,1712,23,1618,1675,25,2139,Not Default
11639,3,21,146,568,223,1163,,,1,12,23,,,,Not Default
1164,3,24,1813,18418,1927,1981,19583,2231,9,1215,755,639,12,243,Default
11641,8,27,55647,57737,58577,6169,58426,5824,3,3923,25,21,22,275,Not Default
11642,2,39,16869,17895,18939,1915,19549,273,166,165,823,857,1,4,Default
11643,13,39,1755,189,735,1575,316,539,189,,1575,316,539,1156,Not Default
11644,8,34,4269,457,5326,592,68,5618,,15,,1,,1,Default
11645,8,4,45747,4851,35933,365,25189,19766,1618,1533,138,852,765,627,Not Default
11646,18,39,,4835,222,1133,9359,941,4835,22,1133,187,181,35,Not Default
11647,15,37,49112,4845,1979,5123,45987,46555,151,185,11123,165,17,,Not Default
11648,1.00E+00,26,737,74847,97369,98232,97752,,1,43,5,3,,,Not Default
11649,5,47,29336,352,31161,25294,24843,19576,1641,13,1629,,1,17,Not Default
1165,29,48,73,4426,82,,2653,,4426,82,,2653,,,Default
11651,49,54,,,,,,,,,,,,,Default
11652,13,3,-915,-915,-915,-915,-915,-17,,,,,,,Not Default
11653,2,24,,15,,597,,474,15,,597,,474,,Not Default
11654,3,23,1764,1454,11862,1214,12351,8,,2,242,247,2,,Default
11655,23,25,5296,54454,53457,55128,52788,53671,3,2,25,25,2,2,Not Default
11656,26,52,582,,582,291,4471,5394,,582,291,4471,1,1,Not Default
11657,29,38,25,,,,,,,,,,,,Not Default
11658,22,54,2742,3131,2664,891,1927,425,15,15,891,1927,425,3,Not Default
11659,6,26,6114,59473,56912,47513,42945,45648,,21,15,17,35,1341,Default
1166,15,45,59885,5954,6254,5964,677,61988,22,22,23,2213,23,2245,Not Default
11661,8,39,13683,13178,13853,14823,14443,1582,,12,12,,16,22,Default
11662,3,23,1689,17127,1918,1853,21,19629,13,2272,,19,,1,Default
11663,21,34,86792,8816,89419,88758,85239,81723,3319,3892,3184,3128,2944,287,Not Default
11664,5,27,27358,28422,28858,29289,28685,3847,18,12,12,,28,12,Not Default
11665,25,47,4398,166,49815,19857,5664,45427,1615,49825,19866,5674,45443,29916,Not Default
11666,2.00E+00,34,12842,949,6955,283,13227,1122,1385,6797,28314,13291,11258,11912,Default
11667,15,48,144837,141815,14374,151572,14987,15388,,5,95,,55,61,Default
11668,3,26,2972,29276,324,2851,29687,29497,16,15,1,4,19,,Not Default
11669,5,23,35454,33824,28528,2812,25574,26524,191,19,15,1,2,25,Not Default
1167,21,32,124838,12995,17383,17265,181981,174744,5,14,155,127,,63,Not Default
11671,2,31,1849,2544,19789,19985,19676,6971,15,2393,1,494,139,1971,Not Default
11672,11,56,46335,45319,53,4894,4826,55979,,58,,,8774,,Default
11673,14,26,84729,12693,41266,39634,11544,13358,26894,15,11888,11544,239,1586,Not Default
11674,5,56,24729,2285,2626,1259,9765,197,1338,111,482,228,365,1261,Not Default
11675,23,27,79872,85538,7763,412,52454,12314,133,51,5,45,8,3566,Not Default
11676,2.00E+00,28,18462,187145,19983,188714,196262,19859,7,7,9,17,16,,Not Default
11677,12,3,276,161,25,2561,-295,-295,569,25,3265,,,,Not Default
11678,5,46,4946,49221,4655,6991,489,189,2185,2938,6996,489,189,689,Not Default
11679,14,39,1828,14626,11376,884,75462,75957,3889,4412,3,3,3,4,Not Default
1168,1.00E+00,48,16584,169,64886,6622,72526,74323,16137,64886,2353,1,3,267,Not Default
11681,8,43,23155,223337,2639,,1257,33592,567,1229,,1257,35238,1145,Not Default
11682,1.00E+00,29,86974,98246,95884,93528,96397,96258,127,,,65,16,34,Default
11683,12,23,3869,41992,3667,38828,38325,39222,5,4,417,3,3,3,Not Default
11684,5,5,3526,-4,1473,2517,1217,4459,,1477,2524,132,4572,226,Default
11685,3,24,784,4184,,,,,42,1,,,,,Not Default
11686,33,27,237515,23471,233421,2124,186444,158521,1112,1112,6548,6497,637,5141,Not Default
11687,24,53,232943,236437,133385,136654,136639,123951,97,5,55,55,5,5,Not Default
11688,29,39,228342,23538,2449,17993,11691,5143,16,12,4,4534,267,7,Default
11689,6,42,666,57718,38144,29542,37,364,35,1731,29,4121,,1,Not Default
1169,36,29,5751,151,624,,1,1866,151,624,,1,1866,252,Not Default
11691,2.00E+00,39,,,798,,37,497,,798,,37,497,,Not Default
11692,45,33,67139,6995,62728,63223,6311,43156,3,3,2,811,26,2,Not Default
11693,8,41,12383,9274,87338,46927,8194,,,4,939,8,,,Not Default
11694,23,32,75,,,79,,283,,,79,,283,,Not Default
11695,16,32,39,39,156,117,78,39,39,156,,,,39,Not Default
11696,2,53,44,-22,-22,-61,39,,,,,139,,78,Not Default
11697,2.00E+00,28,188,2791,188,376,188,6884,2791,,376,,6884,4187,Default
11698,24,35,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473,39,Default
11699,8,39,4762,6712,1814,4811,1379,6136,6734,1817,4817,1381,6137,6251,Not Default
117,2,53,12278,1329,7215,152,,,15,16,3,,,,Not Default
1171,12,25,12568,122285,123294,8142,81225,79777,5224,5427,283,3,29,2818,Not Default
1172,13,24,49583,53275,5196,49723,4712,46188,51,,,45,,15,Default
1173,2.00E+00,45,97933,7849,58998,6219,61748,6422,32,22,22,25,35,9,Not Default
1174,33,36,-1,-1,-1,-1,-1,-1,,,,,,,Not Default
1175,3,22,2158,2881,23217,28498,286,29999,,3,6,12,3,,Default
1176,2,25,15,15,15,15,15,15,,,,,,,Not Default
1177,17,41,154,,9871,9739,66,23,,9871,,,23,2379,Default
1178,15,24,17971,16586,1461,11397,115578,111863,39,6,3937,477,454,2366,Not Default
1179,2,25,15859,18486,18686,18983,1854,19775,32,8,9,,17,,Not Default
1171,16,29,-146,15414,1857,55,262,1381,17833,2252,9694,1,11797,7289,Not Default
11711,14,38,15438,1214,11225,6688,698,6438,262,,31,4,,1435,Not Default
11712,15,27,6166,6195,2,5199,24487,17624,5,2,52399,563,15,22,Not Default
11713,12,47,1214,12355,1183,122443,1237,123766,7352,,899,,9,,Not Default
11714,5,29,13192,14668,15614,17155,16741,19131,2,15,18,,2843,,Default
11715,18,32,17816,18247,3323,5168,,,1,,13,,,,Not Default
11716,6,28,18996,286,22447,24337,2388,2461,212,2,2269,,12,2269,Default
11717,1.00E+00,34,54126,57919,57778,59227,58151,61966,53,14,3,,48,25,Default
11718,12,28,431,395,2411,1925,2943,6249,395,2411,1925,2943,6249,178,Default
11719,2,24,,,,,,1273,,,,,1273,,Default
1172,7,29,44594,45588,4654,47378,4649,47758,2,2,19,,22,36,Default
11721,2.00E+00,58,19672,18623,188391,19911,185247,165232,,6784,13788,14,621,599,Not Default
11722,5.00E+00,48,27343,268256,262467,25437,24916,242741,974,1851,95,974,851,8985,Not Default
11723,46,41,81848,7653,47633,1296,,,8877,4783,1296,,,,Not Default
11724,16,57,152689,148126,144978,141639,138383,134951,55,53,553,51,485,5,Not Default
11725,2,27,19189,19226,18371,184,,,1376,126,2222,,,,Not Default
11726,3.00E+00,42,1188,371,7854,1426,16784,4334,2,5,5,1,4334,3578,Default
11727,4,44,36917,3826,3268,23472,25436,3439,2,2,1,3,1,1142,Not Default
11728,13,26,131724,13186,12453,1158,98268,83729,551,897,5239,5234,4,4,Default
11729,12,25,11431,6857,6865,829,4825,4322,6,3147,12,4,5,1759,Not Default
1173,2,22,1862,18374,19222,1814,18627,15811,17,15,1,1,1,1,Not Default
11731,2.00E+00,47,2395,1163,2426,15592,12541,8667,122,218,1626,6,8667,185,Not Default
11732,2,51,18321,18446,18285,18235,16259,164,1355,1136,646,381,337,1251,Not Default
11733,1,32,7231,7497,9355,9594,8535,8713,1142,2,758,,313,1,Not Default
11734,4.00E+00,28,143,24979,29925,25423,764,1592,243,1462,1824,4,15673,16694,Not Default
11735,18,28,6554,57314,54485,59415,5711,19339,1568,4,8,387,,,Not Default
11736,6,23,21295,22629,23338,2381,25418,265,1679,1388,86,2,155,2,Not Default
11737,26,28,18768,193245,2473,246985,24543,227725,136,6,18,1,117,5,Default
11738,5,36,3689,24248,18588,18958,19355,19788,161,139,679,73,755,396,Not Default
11739,12,3,87199,898,9834,95499,93857,9954,411,423,71,,7396,37,Default
1174,3.00E+00,47,5,5,5,5,5,5,,,,,,,Default
11741,2,36,184,,,,,,,,,,,,Default
11742,18,26,396,396,396,396,396,396,396,396,396,396,396,396,Not Default
11743,3,23,27141,25125,27835,24743,282,2567,3,5,1,2,3,8,Not Default
11744,7,31,5942,8176,8891,9522,984,8792,25,1,923,,,4,Not Default
11745,22,51,273,-27,53895,-15,2895,2835,,54165,,21,294,3346,Default
11746,11,37,261,54223,57299,5418,4893,3389,543,66,4,4,1771,,Default
11747,18,33,37711,412,784,3,,,3,4129,3,,,,Not Default
11748,8,31,5759,8395,1768,4284,722,214,8414,1775,4284,722,214,5218,Not Default
11749,1.00E+00,34,4692,4574,48287,4991,5149,51176,,3978,19,2,2,,Not Default
1175,5,45,46248,5893,48854,591,515,48179,575,,38,189,,185,Default
11751,5,28,59321,56454,53278,19437,19845,19911,2329,2353,39886,74,73,656,Not Default
11752,13,38,519,649,,,,,649,,,,,,Default
11753,29,49,52547,53829,53841,54486,55198,55878,2542,1926,1931,1989,22,228,Not Default
11754,24,33,12415,127593,13474,134296,139117,143634,7,5,6,7,7,5445,Not Default
11755,16,27,,,624,624,,,,624,,,,,Not Default
11756,5,34,48973,561,4985,2765,29447,345,91,12,6,2957,176,13,Not Default
11757,3,45,339,39,78,78,,,39,78,,,,,Not Default
11758,6,39,,,,,,,,,,,,,Not Default
11759,6,57,53584,41935,377,3246,3257,29768,2,2,23,2,3,15,Not Default
1176,1.00E+00,51,98918,96916,98492,89961,93971,85526,4523,4213,31,1,322,313,Not Default
11761,14,27,-488,-488,-488,-488,-488,-488,,,,,,,Not Default
11762,15,35,12563,118843,137751,14133,146389,132617,15,3,5,688,515,1,Not Default
11763,5.00E+00,28,47399,48711,48642,4962,14934,181876,2361,15,1128,133,1486,2114,Not Default
11764,2,33,4128,555,6599,6839,7228,7457,15,13,5,5,5,1,Default
11765,24,37,5,,,,,,,,,,,,Not Default
11766,9,34,33957,4976,176,2161,7423,9252,499,176,21665,8213,9279,16445,Not Default
11767,16,69,498,135,,,,58,135,,,,58,1287,Not Default
11768,28,33,167,369,1735,1735,1714,843,37,1735,,17,1,22,Default
11769,26,27,25419,1945,1927,11915,114479,24511,3,317,11915,114479,2,25,Not Default
1177,13,44,75472,7595,59335,54668,2278,13417,2452,214,193,1376,5,1,Default
11771,5.00E+00,5,531,5484,14539,13291,3645,4763,273,143,665,3648,23,14,Not Default
11772,12,39,435,435,1887,435,435,435,435,1887,435,435,435,435,Not Default
11773,21,3,16,3229,417,5931,4665,667,22,15,328,2,2,4998,Not Default
11774,5,46,4895,49764,36535,32428,15313,1657,18,143,1,1,1,1,Not Default
11775,21,36,16,777,7971,-8,-8,-8,779,7994,,,,174,Not Default
11776,1,27,8944,9882,9538,988,865,,123,,5,45,,,Default
11777,7,34,64913,63387,5884,56431,56859,54449,3,,2,4219,17,323,Not Default
11778,15,31,8839,18814,14776,15582,7722,1156,11394,,13,7722,11,21191,Not Default
11779,6,57,1562,16629,17638,17989,18383,21781,1284,1293,644,684,3721,761,Not Default
1178,12,29,5521,2197,11,,,,11,,,,,,Default
11781,8,3,486,48159,4699,4739,48286,48974,21,3,2,2,2,2,Not Default
11782,49,36,531,2691,3367,-46,9285,-14,2711,3384,,9331,,296,Not Default
11783,45,44,32,3417,47,2916,9695,6361,3423,47,2916,9695,6361,6447,Not Default
11784,2,23,16371,1781,18256,18425,,,2,12,369,,,,Not Default
11785,1,23,335,582,5561,8455,973,8999,3,,3,2,,,Not Default
11786,2,44,836,39,39,39,1487,356,39,39,39,1487,356,15,Not Default
11787,5,27,615,7347,8,8,1,,15,1,,2,,2556,Not Default
11788,3.00E+00,51,18961,4371,3391,34282,12983,,4387,3472,47371,64,,33588,Default
11789,8,27,249,85,1672,1225,3487,24764,23,219,12241,351,24843,41,Not Default
1179,31,39,36,,9159,155,281,4544,,9159,155,2849,,141,Not Default
11791,5,41,4843,49448,5125,9717,9549,984,255,2227,339,5,6,5,Not Default
11792,5.00E+00,39,238,297,9342,3518,5597,717,297,9342,3518,5597,717,25349,Not Default
11793,8,4,22747,1626,65,15525,,,32,65,15525,,,,Not Default
11794,3,26,3698,2934,28317,27872,28456,2823,,1442,986,121,115,1143,Default
11795,1,42,998,9178,7912,4838,196,1112,1,1517,194,67,1,15,Default
11796,39,39,31825,56333,7133,63177,6367,2247,56613,7159,1264,493,2255,1162,Not Default
11797,29,44,167,616,64,526,336,527,619,643,528,337,529,696,Default
11798,12,33,4664,5865,5441,57873,61917,6388,5,5,5,5,3,3,Not Default
11799,5,27,28387,36276,17445,15575,875,-589,1,131,45,4,,,Not Default
118,28,36,2624,-26,5214,17187,2848,5287,,524,17273,2861,5313,,Not Default
1181,2,24,18556,19162,19293,19298,19198,,185,14,45,4,,,Not Default
1182,2,22,8392,-1,,1828,28,,,1,1828,15,,3,Not Default
1183,9,27,27459,28514,29733,3138,33248,32564,18,2,12,36,,2,Default
1184,9,3,64937,6324,51426,37872,3378,47367,,1798,1426,145,4,711,Not Default
1185,12,35,,,554,4131,93,,,554,4131,93,,2581,Not Default
1186,8,4,12171,11554,783,435,5427,618,15,1218,311,1351,1,2,Default
1187,18,68,127933,133279,127636,138164,142921,153691,15,12,2,1,2,5,Not Default
1188,2.00E+00,32,326,6914,2343,23834,11,1315,6914,2343,23834,11,1315,1934,Default
1189,5,55,463,1849,8857,9658,9359,9554,12,1147,1222,,35,338,Not Default
1181,36,3,1449,354,5,5,,1191,354,5,5,,1191,,Not Default
11811,3,27,23134,2332,22844,2211,19535,1958,1712,14,442,391,5,,Not Default
11812,5,24,562,34819,4899,1533,3198,,2,15412,87,3198,,,Not Default
11813,8,37,1324,187,,5963,128,1243,187,,5963,128,1243,1216,Not Default
11814,12,34,45755,46725,49653,48571,47664,4872,2,4,,,2,2,Default
11815,3,29,8326,557,8557,84,2966,13638,557,8,43,219,222,62,Not Default
11816,26,3,165,165,274,165,333,165,165,274,165,333,165,293,Not Default
11817,5,62,5135,535,49289,4958,47512,4893,598,18,18,18,22,1774,Not Default
11818,3,23,26795,29654,28879,3892,35,,33,,25,,,,Not Default
11819,5,59,514,,,,,,,,,,,,Not Default
1182,34,4,183139,179156,17491,15837,151685,143623,9,9,7,6,54,5,Not Default
11821,17,36,26,5234,2394,7794,592,2798,5234,,8,15,2798,26,Not Default
11822,2,25,2415,18266,18921,19297,18926,17717,1264,1249,625,7,1,1,Not Default
11823,23,35,1246,3284,4283,3476,3283,426,3312,439,3549,3297,426,139,Not Default
11824,46,28,4669,427584,37337,285926,264644,247298,18138,15481,1,972,8945,8567,Not Default
11825,2,56,17819,18239,1994,12393,1337,13817,1,15,,1,1,1,Not Default
11826,21,3,,,,,,,,,,,,,Default
11827,3,25,29894,31423,3392,28314,2976,365,23,,784,984,14,,Not Default
11828,5,3,47629,46592,47517,48439,49418,5326,,2,2,19,19,19,Default
11829,13,26,-888,586,888,,587,313,6694,,,587,313,249,Not Default
1183,3,24,15335,1484,16546,15985,17869,17291,,23,,23,,,Default
11831,6,35,156,11312,135,12578,148,13179,12,19,,16,,5,Default
11832,16,28,1426,326,1976,81,2165,1997,326,1976,81,2165,,28377,Not Default
11833,18,32,54797,5699,57466,5869,59828,59842,3,21,21,2163,1,223,Not Default
11834,46,32,89747,89175,1235,134878,162715,23451,5,15,35,3,43451,2,Not Default
11835,3,53,34775,35946,37685,3335,2835,2371,1733,2452,172,189,311,5,Not Default
11836,28,36,14365,,,,,,,,,,,,Not Default
11837,1.00E+00,33,,,,,79679,79691,,,,79679,33,321,Not Default
11838,3,29,32875,3211,3171,3136,28496,29675,,,,,1642,,Default
11839,15,29,39215,493,533,656,5515,,112,16,12376,119,,,Not Default
1184,2.00E+00,47,11418,2541,1599,13865,6177,5519,2541,1599,13865,,5519,2358,Not Default
11841,15,28,123767,18479,7672,1736,82188,67578,2732,7672,1736,82178,5,26,Not Default
11842,37,45,162526,168389,33866,22188,22234,21774,1,1,114,1,,9,Not Default
11843,2.00E+00,34,263,11381,,1,,,11381,,1,,,,Not Default
11844,2.00E+00,32,176,11945,14562,22457,15569,9819,2,5,1,5,62,1,Not Default
11845,3,24,18,18,18,18,12,6,,,,,,,Not Default
11846,21,27,19,-31,1527,191,,276,,354,2189,,276,,Not Default
11847,12,42,94218,95129,172957,85332,8713,71237,3415,32,3177,3271,272,262,Not Default
11848,47,35,218675,225519,2311,234639,23952,244328,8717,8,6671,6882,696,8751,Not Default
11849,6,39,183,1419,3541,2248,,449,1419,3541,2248,,449,,Not Default
1185,26,53,1361,1188,792,792,396,2289,,,396,,2289,16447,Not Default
11851,8,28,39,39,39,54,54,54,39,39,54,54,54,39,Default
11852,1.00E+00,47,4614,47146,48162,4886,4991,514,286,212,1746,189,24,,Not Default
11853,2.00E+00,38,-57,-382,1293,968,643,318,,2,,,,137,Not Default
11854,36,34,2774,-2296,3386,2296,2296,,,36156,2296,,,,Not Default
11855,7,27,31455,34623,34757,35888,3518,35941,4,1,2,,15,3,Default
11856,42,45,52453,52643,517746,428655,352793,3536,185,2,16,11717,12,12,Not Default
11857,15,32,465,439,-25,-25,-25,-25,22,,,,,,Not Default
11858,24,44,8421,1421,-28,-41,519,71,1423,,,7,2,3919,Not Default
11859,36,43,,7221,26194,,355,2511,7221,26194,,355,2511,6895,Not Default
1186,39,3,98984,12158,96446,87912,89991,9147,57,4,32,35,31,3,Not Default
11861,18,27,11599,644,644,29944,644,264,644,644,29944,644,264,124,Not Default
11862,5,25,258,287,3423,,3198,,287,3423,,3198,,,Not Default
11863,18,26,88846,8973,93682,13273,14492,19818,3279,6428,13669,3816,848,351,Default
11864,2.00E+00,41,69963,67223,69167,69289,7333,761,,2943,231,2374,25,53,Not Default
11865,5,36,,,,,,4473,,,,,4473,165,Not Default
11866,28,29,33,95,,,,261,95,,,,261,,Not Default
11867,9,4,9663,69279,59483,365,854,2328,69616,59483,26665,854,2334,1825,Not Default
11868,42,46,436968,428712,425345,354852,353113,35372,,161,13,1464,11117,113,Not Default
11869,7,37,724,5326,5954,169,4711,4514,,5954,,4514,,,Not Default
1187,17,34,1837,1328,321,,3857,,1328,324,,3857,,253,Not Default
11871,21,48,,,,486,836,836,,,486,836,,,Default
11872,8,33,75593,71643,49481,38427,34683,159,253,158,15,16,279,,Not Default
11873,7,48,62319,6512,63529,61778,4292,36751,6,4,3,5,5,2,Not Default
11874,1.00E+00,29,82781,85536,918,91151,89429,91185,5,68,35,,34,35,Not Default
11875,6,31,3841,34336,33489,35615,3827,39239,4,,3,3,2,3,Not Default
11876,35,29,36151,37624,38568,39569,41162,41961,256,2,2,24,267,26,Not Default
11877,18,36,,,,,1482,,,,,1482,,9262,Not Default
11878,2.00E+00,3,67825,7193,64997,697,62452,62191,1,3,2154,25,24,23,Not Default
11879,12,26,67519,1198,4625,43887,3627,24612,3,21,27,2,1127,222,Not Default
1188,7,24,16366,155,966,628,72,432,1,966,628,72,432,165,Not Default
11881,2.00E+00,29,21326,3928,124497,126854,13966,145455,1,95,4552,152,8,,Not Default
11882,2.00E+00,39,114,9956,16636,3849,8958,4573,9984,16754,38522,8983,4585,4549,Not Default
11883,5,38,21912,22939,23647,24118,24729,25267,1685,1393,864,1,95,936,Not Default
11884,29,49,4599,2842,751,2356,1783,2722,2842,751,2,1783,2722,14979,Not Default
11885,12,26,74831,7882,8333,82497,84438,86332,4,362,3,2773,3,1899,Not Default
11886,22,37,1918,4626,562,769,5595,2538,4626,562,769,5595,2538,1686,Not Default
11887,5,5,4314,43496,,,,,25,,,,,,Not Default
11888,36,35,,2819,26,28,28,,2819,,2,,,,Not Default
11889,14,45,36856,27919,24865,22892,5652,47334,15,1273,67,41774,1712,1563,Not Default
1189,3,22,,,,,,,,,,,,,Not Default
11891,13,23,136,,,,,,,,,,,,Not Default
11892,14,35,2736,1276,2552,1276,1276,1276,,2552,,1276,1276,1276,Not Default
11893,26,37,3689,3992,53,53,53,53,3993,53,,,,12,Not Default
11894,5,54,22136,23165,24178,24659,25175,25832,1388,141,882,913,175,782,Not Default
11895,6,32,56228,56861,58152,58615,54338,55915,2147,474,1926,2597,2638,2478,Not Default
11896,2,36,775,786,,,,,1,,,,,,Not Default
11897,25,26,188526,188454,176634,159655,139273,117986,72,65,6,55,4,3847,Not Default
11898,2,27,2443,1938,3873,-21,69,15,1558,14,4,129,,78,Not Default
11899,2.00E+00,29,1945,995,2234,3678,3245,3943,1,2244,3678,31996,197,1579,Not Default
119,5,25,6954,632,6529,7533,7857,4424,2161,1,14,34,15,26,Not Default
1191,21,35,,,,,,,,,,,,,Not Default
1192,11,29,,,,915,196,393,,,915,,393,,Not Default
1193,2,28,213,1837,3831,2825,197,1735,,2212,,,175,,Not Default
1194,25,3,61331,42741,43214,36847,2323,21139,3,2,148,16,157,1,Not Default
1195,1,21,99,,,,,,,,,,,,Default
1196,14,3,4717,5329,5445,5328,6243,213,5329,5445,5328,6243,213,1266,Not Default
1197,1.00E+00,25,8741,93476,9177,92885,94831,9697,7497,,3324,3442,3653,4449,Default
1198,13,43,1985,18491,2579,1995,21625,21129,,24,,2,,18,Default
1199,8,23,78358,826,-57,3129,1956,4246,826,,4969,499,25,4,Not Default
1191,35,38,362,792,315,698,8762,7532,792,319,458,4,284,1,Not Default
11911,14,45,1553,,,,,,,,,,,,Not Default
11912,12,33,,,,,197,,,,,197,,,Not Default
11913,48,46,27783,28777,296399,314867,331653,32493,16,15,25,22,5,1,Not Default
11914,2,24,398,575,5979,6796,6463,2255,1318,1183,1,,,244,Default
11915,3,43,24643,24963,24428,23598,23696,23147,2496,1357,1,843,993,853,Not Default
11916,5.00E+00,48,185627,182655,18782,194893,93416,94255,8,9387,2,3525,3338,345,Not Default
11917,36,55,23439,19112,173,253,987,837,5,12,1,987,,117,Not Default
11918,9,34,,298,,,,51,298,,,,51,,Not Default
11919,9,44,94393,93361,9182,4822,45766,43343,382,3785,1721,1651,1661,2147,Not Default
1192,15,33,717,-959,-959,-959,-959,-959,,,,,,,Not Default
11921,13,49,,1152,984,11671,11914,12155,1152,,2,431,438,244,Not Default
11922,1,26,1252,5677,2735,4564,,,,2735,4564,,,,Not Default
11923,7,35,3257,29775,31273,33739,34632,33746,3,2,3,16,15,16,Not Default
11924,22,32,27384,21329,21922,222114,173898,166686,9252,11,8769,6678,653,6235,Not Default
11925,15,29,23414,23349,,318,,13649,1,,318,,13649,1,Not Default
11926,14,47,75883,6773,57233,52295,4947,38796,2536,517,112,113,31,615,Not Default
11927,16,34,16285,156328,159322,124363,12682,129365,,7661,467,462,4671,478,Not Default
11928,8,27,825,825,-642,-6867,-8692,54375,825,,,,15,1,Not Default
11929,5,39,44574,,,,,,,,,,,,Not Default
1193,2,32,9622,1974,14963,15123,14741,1534,1511,45,7,,1,15,Not Default
11931,1,21,7691,817,836,899,,,1192,1,162,,,,Not Default
11932,32,34,786,2944,11755,52566,36658,42332,2944,11768,52592,,42332,27435,Not Default
11933,29,4,55,55,55,55,55,55,55,55,55,55,55,,Not Default
11934,5,43,4939,5612,29975,3559,29433,345,2449,1778,2382,,1251,151,Not Default
11935,14,51,4885,649,-9,-9,3177,-1,65,,,3186,,,Not Default
11936,14,36,132629,13591,138858,97585,95447,91717,546,57,36,135,3466,3333,Not Default
11937,5,49,3126,25362,23683,22833,1352,2791,25368,1237,457,1354,2794,54,Not Default
11938,36,34,9,9,29,129,,,,2,,,,399,Default
11939,14,43,139445,13795,13325,98147,98924,951,55,5,35,351,35,35,Default
1194,28,48,9517,36527,14899,18374,13369,8854,36527,14927,1841,13369,8854,17863,Not Default
11941,41,37,59728,6619,67396,771,7459,7838,8,3,44,5,533,345,Not Default
11942,3,26,125,125,125,4671,25871,15222,125,125,4671,25,3,2256,Not Default
11943,5,5,4446,4166,,,,,,,,,,,Not Default
11944,6,26,57171,58656,53271,54331,55513,56898,2464,1932,1944,257,2351,1963,Not Default
11945,17,29,47742,45529,4285,3817,39239,39411,215,2447,12,3,2,15,Not Default
11946,23,28,651,651,651,,651,1496,651,651,,651,1496,1953,Not Default
11947,3,25,29883,27523,311,327,3123,3554,2,4273,,264,,15,Default
11948,36,42,5658,4164,2469,,5724,7334,4164,2469,,5724,7334,5221,Not Default
11949,36,3,9848,69568,223,498,315,174,4,5,498,315,174,2416,Not Default
1195,15,38,42154,29986,3.00E+00,,,,17,17,,,,,Not Default
11951,11,36,239,3238,25,31,,,12,45,31,,,,Not Default
11952,28,32,3268,31915,34433,31236,,5,5,5,5,,5,48,Not Default
11953,2.00E+00,37,2896,176,1323,844,4963,1222,172,314,127,222,117,23,Default
11954,5,33,,,,1,,,,,1,,,,Not Default
11955,15,28,79426,71364,71219,56277,54231,55243,33,253,188,1875,2666,1396,Default
11956,36,36,331365,3384,493,,23,2112,15,493,,23,2112,75,Not Default
11957,13,49,119466,116833,16524,89412,86993,87433,544,567,513,52,42,59,Not Default
11958,23,48,5,14883,33151,,,469,14883,2757,,,469,716,Not Default
11959,48,48,2475,995,3647,7621,1735,32818,1,3652,7626,174,32823,1968,Not Default
1196,3,35,28852,29777,29478,329,2783,25762,17,17,15,15,15,15,Default
11961,15,42,89341,7994,72182,6114,4952,4655,5,6,3,2,1,5,Not Default
